"Ensembl_ID","patient1_healthy","patient2_healthy","patient3_healthy","patient4_healthy","patient5_healthy","patient6_healthy","patient7_healthy","patient8_healthy","patient9_healthy","patient10_healthy","patient1_diseased","patient2_diseased","patient3_diseased","patient4_diseased","patient5_diseased","patient6_diseased","patient7_diseased","patient8_diseased","patient9_diseased","patient10_diseased","HealthyMean","DiseasedMean","FoldChange","DifferentialExpression"
"ENST00000004103",2.47,1.24,0.78,5.21,0,1.9,4.67,1.94,1.31,1.55,1.2,0.62,0.61,1.3,0.26,1.05,1.49,0.37,0.27,0.86,2.17,0.8,0.37,-1.36
"ENST00000010338",0,0,0,0.19,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.02,0.01,0.39,-0.01
"ENST00000070846",0,0.07,0.03,0.06,0.08,0.14,0.04,0.15,0.02,0,0.02,0.04,0.05,0,0,0.13,0.03,0.03,0.01,0,0.06,0.03,0.49,-0.03
"ENST00000075503",0.13,0.1,0.28,0.17,0.12,0.02,0.29,0.08,0.3,0.27,0.06,0,0.02,0,0.1,0.27,0.02,0.1,0.06,0.12,0.17,0.08,0.45,-0.09
"ENST00000082259",0.04,0.05,0.05,0,0,0.16,0,0,0,0,0,0,0,0,0.02,0.07,0.02,0,0,0.02,0.03,0.01,0.4,-0.02
"ENST00000155840",0.12,0.04,0.09,0.21,0,0.28,0.11,0.04,0.04,0,0.19,0,0,0.04,0,0.04,0.06,0,0,0.08,0.1,0.04,0.39,-0.06
"ENST00000166133",0,0,1.86,0,0.97,0,0,0,0.81,0,0.81,0.34,0,0.53,0,0,0,0.31,0,0,0.4,0.2,0.49,-0.21
"ENST00000167825",2.54,0,0.53,0,0,0.27,0,0,0,0,0,0.31,0.37,0,0,0,0.58,0,0.19,0,0.37,0.15,0.39,-0.23
"ENST00000176643",0.64,0,0,0,0,0,0.58,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0.14,0.05,0.4,-0.08
"ENST00000187830",2.15,5.14,0,0,1.64,0,0,0,0.36,4.41,0,0,0.38,0,0.03,0.68,0,0.84,2.28,0,1.03,0.42,0.41,-0.61
"ENST00000198536",1.84,0.98,0.69,3.23,0,1.36,3.23,0.89,1.84,2,0.65,0.19,0.28,1.05,0.14,0.68,0.89,0.86,0.61,1.15,1.56,0.65,0.42,-0.91
"ENST00000199936",0,0,0,0,0,0,0,0.17,0.07,0,0,0,0.04,0.04,0,0,0,0,0.04,0,0.03,0.01,0.49,-0.01
"ENST00000201963",0.3,0,0,0,0.46,0,0,0,0,0,0.38,0.02,0,0,0,0,0,0,0,0,0.08,0.04,0.48,-0.04
"ENST00000206765",0.36,0.63,0.63,1.12,0.42,0.35,0.22,0.35,0,0.46,0.14,0.28,0.25,0.09,0.07,0.12,0.26,0.21,0.07,0.27,0.45,0.17,0.39,-0.28
"ENST00000209540",0,0,0.06,0,0.12,0,0,0,0.05,0.05,0.1,0,0,0,0,0,0,0,0,0,0.03,0.01,0.41,-0.02
"ENST00000215530",0.43,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0.05,0.02,0.45,-0.03
"ENST00000216629",11.18,6.74,4.23,11.11,4,13.18,25.07,13.24,21.72,14,5.72,4.69,3.24,6.07,3.01,4.77,6.89,3.37,10.29,10.35,12.27,5.84,0.48,-6.43
"ENST00000217333",0.03,0.44,0,1.28,0.28,0.31,0,0,0.23,0.03,0.18,0,0.02,0.46,0.18,0,0,0.03,0.21,0,0.28,0.11,0.38,-0.18
"ENST00000219022",0.1,0.05,0.24,0.24,0.02,0.02,0.29,0.2,0.13,0.13,0.04,0.02,0.17,0.17,0,0,0,0.07,0.02,0.11,0.14,0.06,0.42,-0.08
"ENST00000219235",2.72,0.48,0.44,1.27,0.12,1.14,4.37,0.07,0.38,1.46,2.19,0.24,0.06,0.99,0.07,0.65,0.59,0.18,0.26,0.69,1.22,0.59,0.49,-0.63
"ENST00000219409",0.12,0.29,0,0,0.17,0.21,0,0,0,0,0.17,0,0,0,0,0.14,0,0.07,0,0,0.09,0.04,0.42,-0.05
"ENST00000219454",0.52,0,0,0,0.09,0.41,0.4,0,0.42,0,0,0,0,0.07,0,0.38,0.39,0.08,0,0.04,0.2,0.1,0.47,-0.11
"ENST00000220446",0.81,0.82,0.32,1.08,0.79,0,0.36,0.17,0.78,0,0,1.24,0.38,0.13,0,0,0,0.47,0.23,0.35,0.57,0.28,0.49,-0.29
"ENST00000220507",0,0.17,0,0.1,0.07,0.03,0.15,0.16,0.1,0,0.1,0.03,0,0.06,0.03,0,0,0.1,0,0.07,0.09,0.04,0.44,-0.05
"ENST00000220940",0,0,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0,0.03,0.01,0.44,-0.02
"ENST00000221166",0.51,0.23,0.53,0,0,0.21,1.02,0.2,0,0,0,0.2,0,0,0.26,0.37,0,0,0,0.46,0.3,0.13,0.43,-0.17
"ENST00000221327",0.81,1.63,0.58,0,1.03,0.5,2.06,0.71,0.82,0.41,0,0.61,0,0,0,0,0.66,0.16,1.01,1.42,0.91,0.39,0.43,-0.52
"ENST00000222033",0.03,0,0,0,0.18,0,0,0.04,0,0.04,0.08,0,0,0,0,0,0,0,0,0.04,0.03,0.01,0.42,-0.02
"ENST00000222286",0,0,0,0.29,0,0,0,0,0,0.04,0,0.15,0,0,0,0,0,0,0,0,0.03,0.01,0.46,-0.02
"ENST00000222381",0,0.03,0,0,0,0.11,0,0.03,0,0,0,0,0.05,0.04,0,0,0,0,0,0,0.02,0.01,0.48,-0.01
"ENST00000222543",13.73,9.86,29.81,22.1,25.59,47.56,249.99,39.27,104.05,148.42,16.03,7.96,9.23,7.41,20.64,25.15,36.52,13.33,13.81,92.14,60.22,24.22,0.4,-36
"ENST00000222598",0.21,0,0.16,0,0,0.25,0.37,0.13,0.07,0.32,0.07,0,0.13,0.17,0,0.16,0.03,0,0,0,0.13,0.06,0.42,-0.08
"ENST00000223076",0.06,0.07,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.07,0,0.03,0.01,0.44,-0.02
"ENST00000223795",0.47,0.32,0.07,0.65,0,0.17,0.22,0.07,0.43,0.29,0.33,0,0.03,0.23,0,0.14,0.07,0.1,0.03,0.2,0.27,0.11,0.43,-0.15
"ENST00000225245",1.07,0.86,1.91,2.04,0.28,0.22,5.06,0.21,0.61,0.82,1.37,0,0.33,0.2,0.61,0.64,0.84,0.22,0.21,0.64,1.36,0.51,0.37,-0.86
"ENST00000225275",0.19,0.07,0.28,0,0.19,0.2,0.11,0,0.29,0.12,0,0.09,0.06,0.08,0.02,0.11,0.02,0.06,0.02,0.11,0.15,0.06,0.39,-0.09
"ENST00000225538",0.26,0.27,0.43,0.17,0.07,0.18,0.03,0.2,0,0.06,0,0.08,0.04,0.27,0,0.12,0,0.12,0,0.25,0.18,0.09,0.49,-0.09
